Statistics
"https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%81%D0%B0%D0%BD%D0%B6,_%D0%94%D0%B6%D1%83%D0%BB%D0%B8%D0%B0%D0%BD 3 131 11 1 20 166"
https://ru.wikipedia.org/w/index.php?title=%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%8F+%D0%B7%D0%B0+%D0%BC%D1%83%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE+%D0%B2+%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5&action=edit&editintro=T:%D0%9D%D0%B5%D1%82_%D1%81%D1%82%D0%B0%D1%82%D1%8C%D0%B8/editintro&preload=T:%D0%9D%D0%B5%D1%82_%D1%81%D1%82%D0%B0%D1%82%D1%8C%D0%B8/preload&preloadparams%5B%5D=Q16209317&preloadparams%5B%5D=%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%8F+%D0%B7%D0%B0+%D0%BC%D1%83%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE+%D0%B2+%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5&preloadparams%5B%5D=%D0%A3%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%87%D0%BA%D0%B0 0 1 0 1 0 2
https://ru.wikipedia.org/w/index.php?title=MediaWiki:Editnotice-0-%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%8F_%D0%B7%D0%B0_%D0%BC%D1%83%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%B2_%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5&action=edit&editintro=template:editintro/editnotice&summary=editnotice%20%D0%B4%D0%BB%D1%8F%20%5B%5B%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%8F+%D0%B7%D0%B0+%D0%BC%D1%83%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE+%D0%B2+%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5%5D%5D&preload=template:preload/editnotice 0 0 0 0 0 0
https://ru.wikipedia.org/w/index.php?title=%D0%9E%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_MediaWiki%3AEditnotice-0-%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%8F_%D0%B7%D0%B0_%D0%BC%D1%83%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%B2_%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5&preload=Template%3ASubmit+an+edit+request%2Fpreload&action=edit&section=new&editintro=Template%3AEdit+protected%2Feditintro&preloadtitle=%D0%97%D0%B0%D0%BF%D1%80%D0%BE%D1%81+%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8+%D0%B7%D0%B0%D1%89%D0%B8%D1%89%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9+%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%8B+%D0%BE%D1%82+11+%D0%B8%D1%8E%D0%BB%D1%8F+2020&preloadparams%5B%5D=edit+fully-protected&preloadparams%5B%5D=MediaWiki%3AEditnotice-0-%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%8F+%D0%B7%D0%B0+%D0%BC%D1%83%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE+%D0%B2+%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5 0 0 0 0 0 0
https://ru.wikipedia.org/w/index.php?title=%D0%A1%D0%BB%D1%83%D0%B6%D0%B5%D0%B1%D0%BD%D0%B0%D1%8F:%D0%92%D1%85%D0%BE%D0%B4&returnto=%D0%9E%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_MediaWiki%3AEditnotice-0-%D0%9F%D1%80%D0%B5%D0%BC%D0%B8%D1%8F_%D0%B7%D0%B0_%D0%BC%D1%83%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%B2_%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5&returntoquery=action%3Dedit 1 0 1 0 0 2
https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D1%83%D0%B6%D0%B5%D0%B1%D0%BD%D0%B0%D1%8F:%D0%92%D1%85%D0%BE%D0%B4 1 0 1 0 0 2
https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D1%83%D0%B6%D0%B5%D0%B1%D0%BD%D0%B0%D1%8F:%D0%92%D1%85%D0%BE%D0%B4 1 0 1 0 0 2
https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D1%83%D0%B6%D0%B5%D0%B1%D0%BD%D0%B0%D1%8F:%D0%92%D1%85%D0%BE%D0%B4 1 0 1 0 0 2
https://meta.wikimedia.org/wiki/Privacy_policy/ru 16 2 34 0 0 52
https://www.mediawiki.org/wiki/Special:MyLanguage/How_to_contribute 26 0 27 0 0 53
https://stats.wikimedia.org/#/ru.wikipedia.org 0 0 0 0 0 0
